"category","exposure","outcome","n_snps","n_harmonized","extraction_strategy","beta","se","pval","or","or_lci","or_uci","or_95ci","heterogeneity_p","pleiotropy_p","fdr_pval","significant_fdr","significant_nominal"
"Metabolic","DBP","Squamous cell lung cancer",460,456,"Standard",-0.0152369788538602,0.00659553713942485,0.0208773445335572,0.984878516563946,0.972228682971042,0.997692939304168,"0.985 (0.972-0.998)",2.26227044038316e-05,0.860028365960457,0.208773445335572,FALSE,TRUE
"Metabolic","hypertension","Lung cancer",209,188,"Standard",-0.00813098082311099,0.169767023824572,0.961799974862091,0.991901986189569,0.711148260135697,1.38349428010845,"0.992 (0.711-1.383)",2.56373151065789e-06,0.0201686565887465,0.964970099221813,FALSE,FALSE
"Metabolic","hypertension","Lung adenocarcinoma",209,193,"Standard",0.0553286693443001,0.223075066041657,0.804113412551765,1.05688792425843,0.682564357205154,1.63649342754584,"1.057 (0.683-1.636)",9.7925764992326e-05,0.22283069540597,0.945974499060275,FALSE,FALSE
"Metabolic","hypertension","Squamous cell lung cancer",209,193,"Standard",-0.21461917143269,0.26049521218765,0.410002562357373,0.806848652692403,0.484232659015122,1.34440487693585,"0.807 (0.484-1.344)",1.87526682542087e-05,0.0221080105979793,0.83083517948701,FALSE,FALSE
"Metabolic","triglycerides","Lung cancer",313,268,"Standard",0.0440395024618739,0.0336279098397488,0.190327245596142,1.04502363507941,0.978366239701855,1.11622248761095,"1.045 (0.978-1.116)",0.00126284725370614,0.0840522191379749,0.67822204994465,FALSE,FALSE
"Metabolic","triglycerides","Lung adenocarcinoma",313,289,"Standard",0.0541128379261999,0.0444525126226938,0.22348329826657,1.0556037075684,0.967524930149032,1.15170074972695,"1.056 (0.968-1.152)",0.00323383979835346,0.135187393548134,0.71833917299969,FALSE,FALSE
"Metabolic","triglycerides","Squamous cell lung cancer",313,288,"Standard",0.0279861342407432,0.05409601473377,0.604917520151969,1.0283814250333,0.924925528317862,1.14340919671327,"1.028 (0.925-1.143)",1.36597192591231e-05,0.197499822157152,0.911091738295872,FALSE,FALSE
"Metabolic","GGT","Lung cancer",349,332,"Standard",-0.0393281882426615,0.0287650895858334,0.171556549367442,0.961435125659481,0.908729540908623,1.01719759206641,"0.961 (0.909-1.017)",8.98509017398147e-06,0.771320043080555,0.67822204994465,FALSE,FALSE
"Metabolic","GGT","Lung adenocarcinoma",349,344,"Standard",-0.0240032421112136,0.0381157494805065,0.528860758093376,0.976282544536193,0.906005310848179,1.05201105926605,"0.976 (0.906-1.052)",9.87927233454275e-05,0.415077811560554,0.871272036279349,FALSE,FALSE
"Metabolic","GGT","Squamous cell lung cancer",349,344,"Standard",-0.0359568261078237,0.0433610463808029,0.406967153391987,0.964681941658193,0.886083156209594,1.05025272406972,"0.965 (0.886-1.050)",0.000261303784053647,0.475666466118645,0.83083517948701,FALSE,FALSE
